reviewcontent,reviewtype,topcritic,genres,productioncompany,movieinfo_rottentomatoeslink_movietitle
"Guest's Show effortlessly merges the sublime with the ridiculous, and in the process becomes an obvious blue-ribbon winner.",Fresh,False,Comedy,Warner Bros. Pictures,"The tension is palpable, the excitement is mounting and the heady scent of competition is in the air as hundreds of eager contestants from across America prepare to take part in what is undoubtedly one of the greatest events of their lives -- the Mayflower Dog Show. The canine contestants and their owners are as wondrously diverse as the great country that has bred them.m/best_in_showBest in Show"
"It's a well-crafted, suspenseful effort that at least tries to appear intelligent and aware.",Fresh,False,"Drama, Mystery & Suspense",Warner Bros. Pictures,"CIA agent Roger Ferris (Leonardo DiCaprio) hatches a bold but dangerous plan to capture terrorist Al-Saleem. With the help of Ed Hoffman (Russell Crowe) who is a master of subterfuge, Ferris creates a fake terrorist organization to prompt Al-Saleem out of hiding. At the same time, Ferris must keep his plan secret from Hani (Mark Strong), the head of Jordanian intelligence, because Ferris will lose his own life if Hani finds out.m/10009225-body_of_liesBody of Lies"
"With its electrifying action sequences, a killer storyline and a maverick comic sensibility, the brilliance of Kick Ass will hit those who want to see it like a thunderbolt.",Fresh,False,"Action & Adventure, Comedy, Drama",Lionsgate,"""Using his love for comics as inspiration, teenager Dave Lizewski (Aaron Johnson) decides to reinvent himself as a superhero -- despite a complete lack of special powers. Dave dons a costume, dubs himself """"Kick-Assm/1217700-kick_assKick-Ass"
"More than most films of its ilk, We Are Marshall rises above the clichés that define the genre, connecting sport to larger issues in an emotionally satisfying way.",Fresh,False,Drama,Warner Bros. Pictures,"In 1970, Marshall University and the small town of Huntington, W.Va., reel when a plane crash claims the lives of 75 of the school's football players, staff members and boosters. New coach Jack Lengyel (Matthew McConaughey) arrives on the scene in March 1971, determined to rebuild Marshall's Thundering Herd and heal a grieving community in the process.m/we_are_marshallWe Are Marshall"
"O.K., so I'm the wrong audience for this teenage junk.",Rotten,True,Drama,Universal Pictures,"The people of Detroit know 8 Mile as the city limit, a border, a boundary. It is also a psychological dividing line that separates Jimmy Smith Jr. (Eminem) from where and who he wants to be. A provocative fictional examination of a critical week in Jimmy's life.m/8_mile8 Mile"
"Since Lucky You overdid the poker cliches to death, let me end with one of my favorites: 'You got to know when to hold'em, know when to fold'em.' It seems this film never learned that lesson.",Rotten,False,Drama,Warner Bros. Pictures,"Huck Cheever (Eric Bana) is a talented poker player who must balance an intense love affair with the feats he must accomplish to win a slot in the world championship game in Las Vegas. If he makes it to the table, there is a chance he may have to compete against his father (Robert Duvall), a poker legend who abandoned Huck's mother years ago.m/lucky_youLucky You"
Wobbles along as average entertainment garnered from a great book.,Rotten,False,"Animation, Classics, Comedy, Kids & Family, Science Fiction & Fantasy",Film Chest,"A young girl when she first visited magical Underland, Alice Kingsleigh (Mia Wasikowska) is now a teenager with no memory of the place -- except in her dreams. Her life takes a turn for the unexpected when, at a garden party for her fiance and herself, she spots a certain white rabbit and tumbles down a hole after him. Reunited with her friends the Mad Hatter (Johnny Depp), the Cheshire Cat and others, Alice learns it is her destiny to end the Red Queen's (Helena Bonham Carter) reign of terror.m/1221547-alice_in_wonderlandAlice in Wonderland"
"It is a stunning and savage existential exercise, and a thing of overwhelming poetic beauty.",Fresh,False,Drama,Universal Pictures,"During World War I, two British soldiers -- Lance Cpl. Schofield and Lance Cpl. Blake -- receive seemingly impossible orders. In a race against time, they must cross over into enemy territory to deliver a message that could potentially save 1,600 of their fellow comrades -- including Blake's own brother.m/1917_20191917"
"A wobbly fiction about a real pioneering sex-discrimination case, North Country is an unabashed vehicle for its modestly de-glammed star, Charlize Theron.",Rotten,True,Drama,Warner Bros. Pictures,"Single mother Josey Aimes (Charlize Theron) is part of a group of the first women to work at a local iron mine in Minnesota. Offended that they have to work with women, male workers at Eveleth Mines lash out at them and subject them to sexual harassment. Appalled by the constant stream of insults, sexually explicit language and physical abuse, Josey -- despite being cautioned against it by family and friends -- files a historic sexual harassment lawsuit.m/north_countryNorth Country"
"For good summer horror, this is your poison.",Fresh,False,"Horror, Science Fiction & Fantasy",Fox Searchlight Pictures,"""A group of misguided animal rights activists free a caged chimp infected with the """"Rage"""" virus from a medical research lab. When London bike courier Jim (Cillian Murphy) wakes up from a coma a month afterm/28_days_later28 Days Later"
A conscious two fingers to the old show's baby po-face.,Fresh,False,"Action & Adventure, Comedy",Sony Pictures,"When cops Schmidt (Jonah Hill) and Jenko (Channing Tatum) join the secret Jump Street unit, they use their youthful appearances to go under cover as high-school students. They trade in their guns and badges for backpacks, and set out to shut down a dangerous drug ring. But, as time goes on, Schmidt and Jenko discover that high school is nothing like it was just a few years earlier -- and, what's more, they must again confront the teenage terror and anxiety they thought they had left behind.m/21_jump_street_201121 Jump Street"
"Political grandstanding aside, 13 Hours is a capable action thriller full of explosive action, charismatic performances, and outsized tension.",Fresh,False,"Action & Adventure, Drama",Paramount Pictures,"On Sept. 11, 2012, Islamic militants attack the U.S. Consulate in Benghazi, Libya, killing Ambassador J. Christopher Stevens and Sean Smith, an officer for the Foreign Service. Stationed less than one mile away are members (James Badge Dale, John Krasinski, Max Martini) of the Annex Security Team, former soldiers assigned to protect operatives and diplomats in the city. As the assault rages on, the six men engage the combatants in a fierce firefight to save the lives of the remaining Americans.m/13_hours_the_secret_soldiers_of_benghazi13 Hours: The Secret Soldiers Of Benghazi"
"Mills' setup could be played for sitcom shallowness, but here his two leads inhabit their characters with small gestures and moments that add up to an unexpectedly compelling film.",Fresh,False,"Comedy, Drama",A24 Films,"In 1979 Santa Barbara, Calif., Dorothea Fields is a determined single mother in her mid-50s who is raising her adolescent son, Jamie, at a moment brimming with cultural change and rebellion. Dorothea enlists the help of two younger women -- Abbie, a free-spirited punk artist living as a boarder in the Fields' home and Julie, a savvy and provocative teenage neighbor -- to help with Jamie's upbringing.m/20th_century_women20th Century Women"
What a bewilderingly brilliant and entertaining movie this is.,Fresh,True,"Comedy, Drama",Columbia Pictures,"""Nicolas Cage is Charlie Kaufman, a confused L.A. screenwriter overwhelmed by feelings of inadequacy, sexual frustration, self-loathing, and by the screenwriting ambitions of his freeloading twin brother Donald (Nicolas Cage). While struggling to adapt """"The Orchid Thiefm/1118700-adaptationAdaptation"
"A rehash of Adam Sandler's 2011 comedy ""Just Go With It,"" only without Jennifer Aniston and without laughs.",Rotten,True,Comedy,Warner Bros. Pictures,"Recently divorced mom Lauren (Drew Barrymore) and widowed dad Jim (Adam Sandler) let their friends push them into a blind date, which goes disastrously wrong. Unsurprisingly, neither wants to see the other ever again. However, fate intervenes when both Jim and Lauren, unbeknown to each other, purchase one-half of the same vacation package at a South African resort; they and their children are forced to share the same suite and participate in a slew of family activities together.m/blendedBlended"
There's an interesting premise here but the filmmakers never fully take advantage of it.,Rotten,False,Drama,Warner Bros. Pictures,"Christian Wolff (Ben Affleck) is a mathematics savant with more affinity for numbers than people. Using a small-town CPA office as a cover, he makes his living as a freelance accountant for dangerous criminal organizations. With a Treasury agent (J.K. Simmons) hot on his heels, Christian takes on a state-of-the-art robotics company as a legitimate client. As Wolff gets closer to the truth about a discrepancy that involves millions of dollars, the body count starts to rise.m/the_accountant_2016The Accountant"
"This is a flick for guys, so grab a few beers, pull up a chair and have a blast...",Fresh,False,"Action & Adventure, Drama",Warner Bros. Pictures,"In 480 B.C. a state of war exists between Persia, led by King Xerxes (Rodrigo Santoro), and Greece. At the Battle of Thermopylae, Leonidas (Gerard Butler), king of the Greek city state of Sparta, leads his badly outnumbered warriors against the massive Persian army. Though certain death awaits the Spartans, their sacrifice inspires all of Greece to unite against their common enemy.m/300300"
Everything's so crammed and asphyxiating you can't help leave wondering if the filmmakers wanted you to think this was meant to launch a franchise or what in the hell.,Rotten,False,Drama,Warner Bros. Pictures,"Christian Wolff (Ben Affleck) is a mathematics savant with more affinity for numbers than people. Using a small-town CPA office as a cover, he makes his living as a freelance accountant for dangerous criminal organizations. With a Treasury agent (J.K. Simmons) hot on his heels, Christian takes on a state-of-the-art robotics company as a legitimate client. As Wolff gets closer to the truth about a discrepancy that involves millions of dollars, the body count starts to rise.m/the_accountant_2016The Accountant"
,Fresh,False,Comedy,Warner Bros. Pictures,"As the leader of a struggling Wild West show, Bronco Billy (Clint Eastwood) gives it his all to keep his entertainers' spirits high despite the declining public interest. While on tour, Billy encounters Antoinette Lily (Sondra Locke), a spoiled, newlywed heiress who was recently deserted by her scheming husband, John Arlington (Geoffrey Lewis). After some convincing, Lily decides to join the troupe as Billy's assistant but, much to the crew's displeasure, she seems to bring only bad luck.m/bronco_billyBronco Billy"
Just go. That's really all I have to say. A Jackie Robinson biopic was long overdue and this is an A+ effort. It's a 9.,Fresh,False,Drama,Warner Bros. Pictures,"In 1946, Branch Rickey (Harrison Ford), legendary manager of the Brooklyn Dodgers, defies major league baseball's notorious color barrier by signing Jackie Robinson (Chadwick Boseman) to the team. The heroic act puts both Rickey and Robinson in the firing line of the public, the press and other players. Facing open racism from all sides, Robinson demonstrates true courage and admirable restraint by not reacting in kind and lets his undeniable talent silence the critics for him.m/42_201342"
"As much as the movie means well, it doesn't trust viewers to keep up.",Fresh,False,Drama,Warner Bros. Pictures,"Single mother Josey Aimes (Charlize Theron) is part of a group of the first women to work at a local iron mine in Minnesota. Offended that they have to work with women, male workers at Eveleth Mines lash out at them and subject them to sexual harassment. Appalled by the constant stream of insults, sexually explicit language and physical abuse, Josey -- despite being cautioned against it by family and friends -- files a historic sexual harassment lawsuit.m/north_countryNorth Country"
"Even though it's burdened by Ben Affleck's limited range and some other bothersome issues, I'm a sucker for period pieces and with a few exceptions, this is a good one with a fine performance by Sienna Miller.",Fresh,False,Drama,Warner Bros. Pictures,"It's the Roaring `20s and Prohibition hasn't stopped the flow of booze in an underground network of gangster-run speakeasies. The opportunity to gain power and money is there for any man with enough ambition and nerve, and Joe Coughlin, the son of the Boston Police superintendent, long ago turned his back on his strict upbringing for the spoils of being an outlaw. But even among criminals there are rules, and Joe breaks a big one: crossing a powerful mob boss by stealing his money and his moll.m/live_by_nightLive By Night"
"There are a lot of illegal drugs in Get Him to the Greek, and the movie itself sort of works like one. It's tempting, mood-altering and the laughs are addictive.",Fresh,False,Comedy,Universal Pictures,"An ambitious executive at a record company, Aaron Green (Jonah Hill) gets what looks like an easy assignment: He must escort British rock legend Aldous Snow (Russell Brand) to L.A.'s Greek Theatre for the first stop on a lucrative comeback-concert tour. Snow, however, has different plans. Learning his true love is in California, the rocker vows to win her back before starting the tour, forcing Aaron to pull out all the stops to get Snow on stage in time.m/1212410-get_him_to_the_greekGet Him to the Greek"
"Perhaps I shouldn't have enjoyed it as much as I did: but with more energy and satire and craziness in its lycra-gloved little finger than other films have everywhere else, Kick-Ass is all pleasure and no guilt.",Fresh,True,"Action & Adventure, Comedy, Drama",Lionsgate,"""Using his love for comics as inspiration, teenager Dave Lizewski (Aaron Johnson) decides to reinvent himself as a superhero -- despite a complete lack of special powers. Dave dons a costume, dubs himself """"Kick-Assm/1217700-kick_assKick-Ass"
A visceral war epic that manages to be bitterly anti-war at heart while also honoring fleeting moments of heroism of and grace.,Fresh,False,Drama,Universal Pictures,"During World War I, two British soldiers -- Lance Cpl. Schofield and Lance Cpl. Blake -- receive seemingly impossible orders. In a race against time, they must cross over into enemy territory to deliver a message that could potentially save 1,600 of their fellow comrades -- including Blake's own brother.m/1917_20191917"
"Insomnia is one of the year's best films and Pacino gives one of his most daring, and complicated, performances.",Fresh,False,"Drama, Mystery & Suspense",Warner Bros. Pictures,"""From acclaimed director Chris Nolan (""""Memento"""") comes the story of a veteran police detective (Al Pacino) who is sent to a small Alaskan town to investigate the murder of a teenage girl. Forced into a psychological game of cat-and-mouse by the primary suspect (Robin Williams)m/1114154-insomniaInsomnia"
"This unabashedly crowd-pleasing movie gets to its uplifting but also somewhat disquieting conclusion and coda (which, as is the custom these days, introduces the audience to the real-life miners) with its integrity intact.",Fresh,True,Drama,Warner Bros. Pictures,"Disaster strikes on Aug. 5, 2010, as a copper and gold mine collapses in Chile, trapping 33 men underground. With more than 2,000 feet of rock in their way, members of a rescue team work tirelessly for 69 days to save the seemingly doomed crew. Beneath the rubble, the miners begin an epic quest to survive, contending with suffocating heat and the need for food and water. With family, friends and the rest of the world watching, it becomes a race against time and a true test of the human spirit.m/the_33The 33"
"It's not particularly raw or gritty, rather it's as though Disney got their hands on an unbelievable Hollywood script and made the live-action film. Luckily for sports fans and human beings everywhere, these events actually happened.",Fresh,False,Drama,Warner Bros. Pictures,"In 1946, Branch Rickey (Harrison Ford), legendary manager of the Brooklyn Dodgers, defies major league baseball's notorious color barrier by signing Jackie Robinson (Chadwick Boseman) to the team. The heroic act puts both Rickey and Robinson in the firing line of the public, the press and other players. Facing open racism from all sides, Robinson demonstrates true courage and admirable restraint by not reacting in kind and lets his undeniable talent silence the critics for him.m/42_201342"
"...graphically captures all the dangers, gun fighting, bombs, and the uncertainty of the fight because it was all done in the dark of night by heroic independent contractors who have been ignored, even dissed, by the Democrats responsible.",Fresh,False,"Action & Adventure, Drama",Paramount Pictures,"On Sept. 11, 2012, Islamic militants attack the U.S. Consulate in Benghazi, Libya, killing Ambassador J. Christopher Stevens and Sean Smith, an officer for the Foreign Service. Stationed less than one mile away are members (James Badge Dale, John Krasinski, Max Martini) of the Annex Security Team, former soldiers assigned to protect operatives and diplomats in the city. As the assault rages on, the six men engage the combatants in a fierce firefight to save the lives of the remaining Americans.m/13_hours_the_secret_soldiers_of_benghazi13 Hours: The Secret Soldiers Of Benghazi"
Sam Mendes' epic WWI drama is a towering achievement in so many ways . A remarkable film that looks like no other.,Fresh,False,Drama,Universal Pictures,"During World War I, two British soldiers -- Lance Cpl. Schofield and Lance Cpl. Blake -- receive seemingly impossible orders. In a race against time, they must cross over into enemy territory to deliver a message that could potentially save 1,600 of their fellow comrades -- including Blake's own brother.m/1917_20191917"
"If 300 represents an evolution in 'virtual' cinema, then at the same time it tells a story that transports us back to the violent roots of western civilisation.",Fresh,False,"Action & Adventure, Drama",Warner Bros. Pictures,"In 480 B.C. a state of war exists between Persia, led by King Xerxes (Rodrigo Santoro), and Greece. At the Battle of Thermopylae, Leonidas (Gerard Butler), king of the Greek city state of Sparta, leads his badly outnumbered warriors against the massive Persian army. Though certain death awaits the Spartans, their sacrifice inspires all of Greece to unite against their common enemy.m/300300"
"Another masterwork from Clint Eastwood's astonishing late period, and one of the best war movies ever.",Fresh,True,Drama,Warner Bros. Pictures,"Long-buried missives from the island reveal the stories of the Japanese troops who fought and died there during World War II. Among them are Saigo (Kazunari Ninomiya), a baker; Baron Nishi (Tsuyoshi Ihara), an Olympic champion; and Shimizu (Ryô Kase), an idealistic soldier. Though Lt. Gen. Tadamichi Kuribayashi (Ken Watanabe) knows he and his men have virtually no chance of survival, he uses his extraordinary military skills to hold off American troops as long as possible.m/letters_from_iwo_jimaLetters from Iwo Jima"
"Marie Antoinette is in no way a historical film -- it's a wispy but nonetheless brilliant cutout of a girl who just wanted to have fun. But at the end of the day and in the relative privacy of her bathtub, she would give way to a unnamed sadness.",Fresh,False,"Documentary, Drama",Sony Pictures,"An Austrian teenager (Kirsten Dunst) marries the Dauphin (Jason Schwartzman) of France and becomes that country's queen following the death of King Louis XV (Judy Davis) in 1774. Years later, after a life of luxury and privilege, Marie Antoinette loses her head during the French Revolution.m/1158195-marie_antoinetteMarie Antoinette"
"I came in expecting Hoffman's tour de force and left with a fuller appreciation of the quiet yet lethal film around him. Lethal, because what it says about the writer's craft, about what often gets destroyed in the name of creation.",Fresh,True,Drama,Sony Pictures Classics,"Reading of the murder of a Kansas family, New York City novelist Truman Capote (Philip Seymour Hoffman) decides to cover the story himself, and travels to the small town with his childhood friend, aspiring novelist Harper Lee (Catherine Keener). When Perry Smith (Clifton Collins Jr.) and Dick Hickock (Mark Pellegrino) are arrested and charged, Capote forms an emotional bond with Smith during his jailhouse interviews despite the young criminal's apparent guilt.m/1151898-capoteCapote"
Director Ridley Scott makes Body of Lies a visually stylish film that also has scenes of incredible carnage and wince-inducing torture.,Fresh,False,"Drama, Mystery & Suspense",Warner Bros. Pictures,"CIA agent Roger Ferris (Leonardo DiCaprio) hatches a bold but dangerous plan to capture terrorist Al-Saleem. With the help of Ed Hoffman (Russell Crowe) who is a master of subterfuge, Ferris creates a fake terrorist organization to prompt Al-Saleem out of hiding. At the same time, Ferris must keep his plan secret from Hani (Mark Strong), the head of Jordanian intelligence, because Ferris will lose his own life if Hani finds out.m/10009225-body_of_liesBody of Lies"
"Director Niki Caro was a critical darling for her first feature, Whale Rider, and her Hollywood debut confirms a legitimate talent.",Fresh,False,Drama,Warner Bros. Pictures,"Single mother Josey Aimes (Charlize Theron) is part of a group of the first women to work at a local iron mine in Minnesota. Offended that they have to work with women, male workers at Eveleth Mines lash out at them and subject them to sexual harassment. Appalled by the constant stream of insults, sexually explicit language and physical abuse, Josey -- despite being cautioned against it by family and friends -- files a historic sexual harassment lawsuit.m/north_countryNorth Country"
Leonardo DiCaprio has the unenviable task of playing a character without a single redeeming feature.,Rotten,False,Drama,Warner Bros. Pictures,"As head of the FBI for nearly 50 years, J. Edgar Hoover (Leonardo DiCaprio) becomes one of America's most-powerful men. Serving through eight presidents and three wars, Hoover utilizes methods both ruthless and heroic to keep his country safe. Projecting a guarded persona in public and in private, he lets few into his inner circle. Among those closest to him are his protege and constant companion, Clyde Tolson (Armie Hammer), and Helen Gandy (Naomi Watts), his loyal secretary.m/j_edgarJ. Edgar"
"There's an abundance of toilet humour, masturbation, oral sex and fantasies about threesomes with an oversized bag of weed ... The target market will no doubt be primed",Rotten,False,Comedy,Warner Bros. Pictures,"After the high-flying stoners (Kal Penn, John Cho) try to smuggle a bong aboard a flight to Amsterdam, the two find themselves in jail on charges of terrorism. After making an amazing escape, Harold and Kumar flee to Texas by way of Florida, where they hope to convince Harold's well-connected friend (Eric Winter) to help them out of their predicament. The problem is, Harold's pal is about to marry Kumar's ex-sweetie (Danneel Harris).m/harold_and_kumar_2Harold & Kumar Escape from Guantanamo Bay"
"Tom is a prime example of what happens when you grow up listening to too much sad British pop music: unrealistic expectations for romantic love and a taste for skinny ties and sweater vests. Now he's fallen, and fallen hard, for Summer. How could he not?",Fresh,False,"Comedy, Drama, Romance",Fox Searchlight Pictures,"Tom (Joseph Gordon-Levitt), greeting-card writer and hopeless romantic, is caught completely off-guard when his girlfriend, Summer (Zooey Deschanel), suddenly dumps him. He reflects on their 500 days together to try to figure out where their love affair went sour, and in doing so, Tom rediscovers his true passions in life.m/500_days_of_summer500 Days of Summer"
Terrible; wonderfully terrible.,Rotten,False,"Action & Adventure, Drama, Mystery & Suspense, Science Fiction & Fantasy",Sony Pictures/Columbia,"Earth's billions of inhabitants are unaware that the planet has an expiration date. With the warnings of an American scientist (Chiwetel Ejiofor), world leaders begin secret preparations for the survival of select members of society. When the global cataclysm finally occurs, failed writer Jackson Curtis (John Cusack) tries to lead his family to safety as the world starts falling apart.m/20122012"
50/50 keeps the highs high. That's easy. Keeping the lows high is much more tricky. The lows are where most dying-of-a-disease movies go to die.,Fresh,False,"Comedy, Drama",Summit Entertainment,"Adam Lerner (Joseph Gordon-Levitt) has always tried to take good care of his health, so it comes as a cruel surprise when he learns that he has malignant tumors along his spine. His doctor gives him a 50/50 chance of survival, but Adam tries to remain upbeat, though his mother (Anjelica Huston) and his friend Kyle (Seth Rogen), react badly to the news. Adam starts seeing a therapist (Anna Kendrick), but their relationship threatens to cross the boundary between doctor and patient.m/5050_201150/50"
Coppola doesn't ask us to take Marie Antoinette as she thinks she was but as she probably was: a little girl who didn't know better.,Fresh,False,"Documentary, Drama",Sony Pictures,"An Austrian teenager (Kirsten Dunst) marries the Dauphin (Jason Schwartzman) of France and becomes that country's queen following the death of King Louis XV (Judy Davis) in 1774. Years later, after a life of luxury and privilege, Marie Antoinette loses her head during the French Revolution.m/1158195-marie_antoinetteMarie Antoinette"
"Just Mercy fails to cover any new ground but its powerful story of perseverance runs the gamut of emotions.""",Fresh,False,Drama,Warner Bros. Pictures,"After graduating from Harvard, Bryan Stevenson heads to Alabama to defend those wrongly condemned or those not afforded proper representation. One of his first cases is that of Walter McMillian, who is sentenced to die in 1987 for the murder of an 18-year-old girl, despite evidence proving his innocence. In the years that follow, Stevenson encounters racism and legal and political maneuverings as he tirelessly fights for McMillian's life.m/just_mercyJust Mercy"
"In both his films, Eastwood empathizes with the 'expendable' soldier on the ground, the 'poor bastard' who is only a pawn in a war conceived by generals and politicians, some of whom have never come anywhere near a battlefield or a combat zone.",Fresh,True,Drama,Warner Bros. Pictures,"Long-buried missives from the island reveal the stories of the Japanese troops who fought and died there during World War II. Among them are Saigo (Kazunari Ninomiya), a baker; Baron Nishi (Tsuyoshi Ihara), an Olympic champion; and Shimizu (Ryô Kase), an idealistic soldier. Though Lt. Gen. Tadamichi Kuribayashi (Ken Watanabe) knows he and his men have virtually no chance of survival, he uses his extraordinary military skills to hold off American troops as long as possible.m/letters_from_iwo_jimaLetters from Iwo Jima"
Kind Of A Drag,Rotten,False,Drama,Warner Bros. Pictures,"As head of the FBI for nearly 50 years, J. Edgar Hoover (Leonardo DiCaprio) becomes one of America's most-powerful men. Serving through eight presidents and three wars, Hoover utilizes methods both ruthless and heroic to keep his country safe. Projecting a guarded persona in public and in private, he lets few into his inner circle. Among those closest to him are his protege and constant companion, Clyde Tolson (Armie Hammer), and Helen Gandy (Naomi Watts), his loyal secretary.m/j_edgarJ. Edgar"
"The off-kiltered Tim Burton version of Alice in Wonderland might frightened younger children, confuse older ones and bore the adults.",Rotten,False,"Animation, Classics, Comedy, Kids & Family, Science Fiction & Fantasy",Film Chest,"A young girl when she first visited magical Underland, Alice Kingsleigh (Mia Wasikowska) is now a teenager with no memory of the place -- except in her dreams. Her life takes a turn for the unexpected when, at a garden party for her fiance and herself, she spots a certain white rabbit and tumbles down a hole after him. Reunited with her friends the Mad Hatter (Johnny Depp), the Cheshire Cat and others, Alice learns it is her destiny to end the Red Queen's (Helena Bonham Carter) reign of terror.m/1221547-alice_in_wonderlandAlice in Wonderland"
"Undeniably impressive on a visual level, the film is considerably more prosaic in terms of plotting and acting.",Rotten,False,"Action & Adventure, Drama",Warner Bros. Pictures,"In 480 B.C. a state of war exists between Persia, led by King Xerxes (Rodrigo Santoro), and Greece. At the Battle of Thermopylae, Leonidas (Gerard Butler), king of the Greek city state of Sparta, leads his badly outnumbered warriors against the massive Persian army. Though certain death awaits the Spartans, their sacrifice inspires all of Greece to unite against their common enemy.m/300300"
,Fresh,False,Drama,Warner Bros. Pictures,"Conceived as a marrow donor for her gravely ill sister, Anna Fitzgerald (Abigail Breslin) has undergone countless surgeries and medical procedures in her short life. Though their older daughter's life has no doubt been prolonged, the unorthodox decision of Anna's parents has cracked the entire family's foundation. When Anna sues her parents for emancipation, it sets off a court case that threatens to destroy the family for good.m/10010662-my_sisters_keeperMy Sister's Keeper"
A workout for the emotions in the story of Jackie Robinson as a civil rights pioneer in the segregated sport of baseball in the 1940s.,Fresh,False,Drama,Warner Bros. Pictures,"In 1946, Branch Rickey (Harrison Ford), legendary manager of the Brooklyn Dodgers, defies major league baseball's notorious color barrier by signing Jackie Robinson (Chadwick Boseman) to the team. The heroic act puts both Rickey and Robinson in the firing line of the public, the press and other players. Facing open racism from all sides, Robinson demonstrates true courage and admirable restraint by not reacting in kind and lets his undeniable talent silence the critics for him.m/42_201342"
"The constant movie references didn't make me laugh, they made me want to see other movies. Better movies.",Rotten,False,Comedy,Warner Bros. Pictures,"Art patron Hibbing Goodhue (Michael York) is murdered, and an accident-prone concert violinist, Ryan Harrison (Leslie Nielsen), is arrested as the main suspect. Harrison didn't do it, but he's convicted of the crime. He's on the bus that will take him to prison, but he manages to escape after a traffic accident. On the run, Harrison tries to clear his name by seeking out the real killer, while the police, led by Lt. Fergus Falls (Richard Crenna), hunt him down.m/wrongfully_accusedWrongfully Accused"
"Both actors deliver a master class in expression by understatement. The most unsettling of ghosts, we are moved to realize, are the ones we try hardest to deny.",Fresh,True,Drama,Sundance Selects,"As their 45th wedding anniversary approaches, a woman (Charlotte Rampling) learns that her husband (Tom Courtenay) was once engaged to someone else.m/45_years45 Years"
"This graceless and overwrought piece of storytelling will probably earn a Pope's ransom at the box office, despite its many flaws.",Rotten,True,"Drama, Mystery & Suspense",Sony/Columbia Pictures,"When Harvard symbologist Robert Langdon discovers the resurgence of an ancient brotherhood known as the Illuminati, he flies to Rome to warn the Vatican, the Illuminati's most hated enemy. Joining forces with beautiful Italian scientist Vittoria Vetra (Ayelet Zurer), Langdon follows a centuries-old trail of ancient symbols in the hope of preventing the Illuminati's deadly plot against the Roman Catholic Church from coming to fruition.m/1189217-angels_and_demonsAngels & Demons"
"10 Cloverfield Lane is restrained and functional, letting the cast, the screenplay, and the edit do the heavy lifting.",Fresh,False,"Drama, Mystery & Suspense, Science Fiction & Fantasy",Bad Robot Productions,"After surviving a car accident, Michelle (Mary Elizabeth Winstead) wakes up to find herself in an underground bunker with two men. Howard (John Goodman) tells her that a massive chemical attack has rendered the air unbreathable, and their only hope of survival is to remain inside. Despite the comforts of home, Howard's controlling and menacing nature makes Michelle want to escape. After taking matters into her own hands, the young woman finally discovers the truth about the outside world.m/10_cloverfield_lane10 Cloverfield Lane"
"""Trouble"" is second-rate Eastwood, existing in a parallel universe where the celebrity has been reduced to a Hallmark movie-of-the-week actor, not one of the most respected directors in Hollywood.",Rotten,True,Drama,Warner Bros. Pictures,"For decades Gus Lobel (Clint Eastwood) has been one of baseball's best scouts -- but now his age is catching up with him. Still, he refuses to be benched even though his bosses are questioning his judgment. Tasked with checking out the country's hottest batting prospect, Gus is forced to accept help from his daughter, Mickey (Amy Adams). Though they haven't spent time together in years, father and daughter make new discoveries about their shared past, which could change their future.m/trouble_with_the_curveTrouble with the Curve"
"Cheeky, original, funny, satisfyingly silly and even a bit profound, The Fantastic Mr. Fox, like Where the Wild Things Are, is a quirky delight for children and the child hopefully still residing in every adult.",Fresh,False,"Action & Adventure, Animation, Comedy, Kids & Family",20th Century Fox,"After 12 years of bucolic bliss, Mr. Fox (George Clooney) breaks a promise to his wife (Meryl Streep) and raids the farms of their human neighbors, Boggis, Bunce and Bean. Giving in to his animal instincts endangers not only his marriage but also the lives of his family and their animal friends. When the farmers force Mr. Fox and company deep underground, he has to resort to his natural craftiness to rise above the opposition.m/1197696-fantastic_mr_foxFantastic Mr. Fox"
"A grating, emaciated flick.",Rotten,False,Comedy,Warner Bros. Pictures,"When a no-nonsense LAPD detective (Robert De Niro) is forced to star in a reality-based television show with a frustrated actor-turned-LAPD-patrolman (Eddie Murphy), they find their lives turned upside down by a powerhouse producer (Rene Russo) and her very intrusive camera crew.m/1113375-showtimeShowtime"
"Eastwood has achieved another impressive cinematic coup, making the type of classic war film we all knew he was capable of making.",Fresh,False,Drama,Warner Bros. Pictures,"Long-buried missives from the island reveal the stories of the Japanese troops who fought and died there during World War II. Among them are Saigo (Kazunari Ninomiya), a baker; Baron Nishi (Tsuyoshi Ihara), an Olympic champion; and Shimizu (Ryô Kase), an idealistic soldier. Though Lt. Gen. Tadamichi Kuribayashi (Ken Watanabe) knows he and his men have virtually no chance of survival, he uses his extraordinary military skills to hold off American troops as long as possible.m/letters_from_iwo_jimaLetters from Iwo Jima"
"Get yourself to see the Greek. It's raunchy, tasteless, hilarious, and surprisingly poignant (at times).",Fresh,False,Comedy,Universal Pictures,"An ambitious executive at a record company, Aaron Green (Jonah Hill) gets what looks like an easy assignment: He must escort British rock legend Aldous Snow (Russell Brand) to L.A.'s Greek Theatre for the first stop on a lucrative comeback-concert tour. Snow, however, has different plans. Learning his true love is in California, the rocker vows to win her back before starting the tour, forcing Aaron to pull out all the stops to get Snow on stage in time.m/1212410-get_him_to_the_greekGet Him to the Greek"
